name,category,manufacturer,eparegnumber,activeingredient,targetpest,uom,distributorsku
DiPel PRO DF Biological Insecticide 1 lb.,Insecticide/Pesticide,Valent U.S.A. LLC,73049-39,Bacillus thuringiensis subsp. kurstaki ABTS-351 54%,L-SHRUB,FB,DIPEL PRO DF BIOLOGICAL INSECT
JT Eaton Stick-Em Rat and Mouse Glue Trap,Rodent,J.T. Eaton & Co.,N/A,N/A,RODENTS,RT,EATON STICK-EM RAT AND MOUSE
Extinguish Plus Fire Ant Bait 4.5 lb.,Insecticide/Pesticide,Central Life Sciences (Wellmark),2724-496,Hydramethylnon 0.365% + (S)-Methoprene 0.25%,,J,EXTINGUISH PLUS 4.5LB
Extinguish Professional Fire Ant Bait 25 lb.,Insecticide/Pesticide,Central Life Sciences (Wellmark),2724-475,(S)-Methoprene 0.5%,ANTS,FB,EXTINGUISH PRO FIRE ANT BAIT
Fertilizer 15-0-15,Granular Fertilizer,,N/A,N/A,,FB,FERTTILIZER 15-0-15
Gentrol Aerosol IGR 16 oz.,Insecticide/Pesticide,Zoecon (Central Life Sciences),2724-484,(S)-Hydroprene 0.36%,,AC,GENTROL AEROSOL PC
Gentrol IGR Concentrate 1 oz.,Insecticide/Pesticide,Zoecon (Central Life Sciences),2724-351,(S)-Hydroprene 9.0%,ROACHES,B,GENTROL IGR INSECTICIDE 10/ 1
InVade Hot Spot Bio Sanitation Foam 16 oz.,Other,Rockwell Labs Ltd,N/A,N/A,,AC,INVADE HOT SPOT PEST CONTROL 1
LESCO 13-3-13 SPAR-TEC T&O Granular Fertilizer,Granular Fertilizer,LESCO (SiteOne),N/A,N/A,,FB,LESCO 13-3-13 SPAR-TECH T&O GR
LESCO 16-0-8 SPAR-TEC Turfgrass Granular Fertilizer,Granular Fertilizer,LESCO (SiteOne),N/A,N/A,,FB,LESCO 16-0-8 SPAR TECH
LESCO 19-19-19 AM Turfgrass Soluble Fertilizer 25 lb. Bag,Granular Fertilizer,LESCO (SiteOne),N/A,N/A,,FB,LESCO 19-19-19  SOLUBLE FERTIL
LESCO 20-0-0 Liquid Fertilizer 2.5 gal. Jug,Liquid Fertilizer,LESCO (SiteOne),N/A,N/A,,J,LESCO 20-0-0 LIQUID FERTILIZER
LESCO 24-0-11 Turfgrass Granular Fertilizer 50 lb. Bag,Granular Fertilizer,LESCO (SiteOne),N/A,N/A,,FB,LESCO 24-0-11 50 LB. BAG
LESCO 25-0-10 Turfgrass Granular Fertilizer,Granular Fertilizer,LESCO (SiteOne),N/A,N/A,,,LESCO 25-0-10 GRANULAR FERT
LESCO 33-0-17 AM Turf Soluble Fertilizer 50 lb.,Granular Fertilizer,LESCO (SiteOne),N/A,N/A,,FB,LESCO 33-0-17 AM TURF SOLUBLE
LESCO Aerosol Wasp and Hornet Spray 14 oz.,Insecticide/Pesticide,LESCO (SiteOne),279-3401-10404,Tetramethrin 0.10% + Permethrin 0.25% + PBO 0.50%,,AC,LESCO AEROSOL WASP AND HORNET
LESCO Atrazine 1.05% Plus Fertilizer 50 lb.,Herbicide,LESCO (SiteOne),10404-94,Atrazine 1.05%,L-WEED,J,LESCO ATRAZINE POST EMERGENT P
LESCO Bandit 2F Insecticide/Miticide 1 gal.,Insecticide/Pesticide,Bayer Environmental Science (LESCO/SiteOne brand),432-1312,Imidacloprid 21.4%,L-SHRUB,J,LESCO BANDIT 2F SYSTEMIC LIQUI
LESCO Bio Iron Plus Liquid Fertilizer 2.5 gal.,Liquid Fertilizer,LESCO (SiteOne),N/A,N/A,,J,LESCO BIO IRON PLUS LIQUID FER
LESCO CrossCheck 0.069% Insecticide Plus Fertilizer 0-0-7 AM,Insecticide/Pesticide,LESCO (SiteOne),10404-116,Bifenthrin 0.069%,ANTS,FB,LESCO CROSSCHECK 0.069% 0-0-7
LESCO CrossCheck PL Granular Insecticide,Insecticide/Pesticide,LESCO (SiteOne); FMC registration,279-3168-10404,Bifenthrin 0.2%,,FB,LESCO CROSSCHECK PL
LESCO CrossCheck Plus Liquid Insecticide 1 gal.,Insecticide/Pesticide,LESCO (SiteOne); FMC registration,279-3206-10404,Bifenthrin 7.9%,GHP,J,LESCO CROSSCHECK PLUS LIQUID I
LESCO Fertilizer 10-0-12 50 lb.,Granular Fertilizer,LESCO (SiteOne),N/A,N/A,,FB,LESCO FERTILIZER 10-0-12 50 LB
LESCO 13-0-0 Spar-TEC Liquid Fertilizer,Liquid Fertilizer,LESCO (SiteOne),N/A,N/A,,J,LESCO FERTILIZER 13-0-0
LESCO Fertilizer 21-0-6 50 lb.,Granular Fertilizer,LESCO (SiteOne),N/A,N/A,,FB,LESCO FERTILIZER 21-0-6 50 LB
LESCO Green Flo Phyte Plus 0-0-26 + Micros 2.5 gal.,Liquid Fertilizer,LESCO (SiteOne),N/A,N/A,,J,LESCO GREEN FLO PHYTE PLUS
LESCO K-Flow Liquid Fertilizer 0-0-25 2.5 gal.,Liquid Fertilizer,LESCO (SiteOne),N/A,N/A,,J,LESCO K-FLOWLIQUID FERT 0-0-25
LESCO L&O Palm 8-0-10 Granular Fertilizer 50 lb.,Granular Fertilizer,LESCO (SiteOne),N/A,N/A,,FB,LESCO L&O PALM 8-0-10 RANULAR
LESCO MacroN Soluble Fertilizer 20-20-20 25 lb.,Granular Fertilizer,LESCO (SiteOne),N/A,N/A,,BU,LESCO MACRON SOLUBLE FERTILIZE
LESCO Mansion Turf Herbicide,Herbicide,Nufarm Americas (LESCO brand),228-373,Metsulfuron-methyl 60%,BROADLEAF,B,LESCO MANSION POST EMERGENT DR
LESCO Organic Fertilizer 0-0-18 40 lb.,Granular Fertilizer,LESCO (SiteOne),N/A,N/A,,FB,LESCO ORGANIC/ORGANIC-BASE FER
LESCO ProMicro + Micros Liquid Fertilizer 2.5 gal.,Liquid Fertilizer,LESCO (SiteOne),N/A,N/A,,J,LESCO PROMICRO + MICROS LIQUID
LESCO Prosecutor Pro Non-Selective Herbicide,Herbicide,LESCO (SiteOne),524-536-10404,Glyphosate (isopropylamine salt) 41%,,J,LESCO PROSECUTOR PRO NON SELEC
LESCO Spreader Sticker 2.5 gal.,Other,LESCO (SiteOne),N/A,N/A,,J,LESCO SPREADER STICKER 2.5 GAL
LESCO T&O Chelated Liquid Micronutrient Fertilizer,Liquid Fertilizer,LESCO (SiteOne),N/A,N/A,,J,LESCO T&O CHELATED LIQUID CHEL
LESCO T-Storm 2G Fungicide 30 lb.,Fungicide,Nufarm Americas (LESCO brand),228-631-10404,Thiophanate-methyl 2.08%,,,LESCO T-STORM 2G GRANULAR
LESCO T-Storm Flowable Systemic Fungicide 2.5 gal. Jug,Fungicide,LESCO (SiteOne),66330-293-10404,Thiophanate-methyl 46.2%,,J,LESCO T-STORM LIQUID FUNGICIDE
20-0-0 Liquid Fertilizer,Liquid Fertilizer,Lesco,N/A,N/A,,J,LIQUID FERTILIZER 20-0-0
Lutz Perfect General Purpose Fertilizer Spike 8-10-10,Granular Fertilizer,Lutz Corporation,N/A,N/A,,T,LUTZ PERFECT SPIKE
Maxforce Complete Brand Granular Insect Bait 4 lb.,Insecticide/Pesticide,Envu,432-1255,Hydramethylnon 1.0%,,FB,MAXFORCE COMPLETE INSECT BAIT
Maxforce Quantum Ant Bait 120 gm.,Insecticide/Pesticide,Envu,432-1506,Imidacloprid 0.03%,ANTS,T,MAXFORCE QUANTUM ANT BAIT 120
Misc,Other,,N/A,N/A,,,MISC
Misc. Chemical,Other,,N/A,N/A,,,MISC CHEMICAL
Misc. Fertilizer,Granular Fertilizer,,N/A,N/A,,,MISC FERTILIZER
Mojave 70 EG Herbicide 5 lb.,Herbicide,"Alligare, LLC",81927-25,Imazapyr 7.78% + Diuron 62.22%,,FB,MOJAVE 70EG NON SELECT HERB
Arena 0.25 G Insecticide 30 lb. Bag,Insecticide/Pesticide,Nufarm,59639-157,Clothianidin 0.25%,L-LAWN,FB,NUFARM ARENA 0.25G GRANULAR
Octane 2SC Herbicide 8 oz.,Herbicide,SePRO Corporation,71711-25,Pyraflufen-ethyl 2.0%,,J,OCTANE 2SC POST EMERG LIQ HERB
Optigard Ant Gel Bait 4 x 30 gm.,Insecticide/Pesticide,Syngenta,100-1260,Thiamethoxam 0.010%,ANTS,T,OPTIGARD ANT GEL BAIT 4 X 30 G
Optigard Cockroach Gel Bait 4 x 30 gm.,Insecticide/Pesticide,Syngenta,100-1290,Emamectin benzoate 0.05%,,T,OPTIGARD COCKROACH GEL BAIT 4X
Pageant Intrinsic Brand Fungicide 1 lb.,Fungicide,BASF,7969-251,Boscalid 25.2% + Pyraclostrobin 12.8%,,,PAGEANT INTRINSIC FUNGICIDE
SpeedZone Southern EW Broadleaf Herbicide for Turf,Herbicide,PBI-Gordon Corporation,2217-835,"2,4-D 10.49% + MCPP-p 2.66% + Dicamba 0.67% + Carfentrazone 0.54%",L-WEED,J,PBI GORDON SPEEDZONE SOUTHERN
Precor 2000 Plus Premise Spray 16 oz.,Insecticide/Pesticide,Zoecon (Central Life Sciences),2724-490,(S)-Methoprene 0.085% + Permethrin 0.35% + Phenothrin 0.30% + PBO 1.75%,,AC,PRECOR 2000 PREMISE SPRAY 16 O
Pro-Mate 20-0-10 Fertilizer,Granular Fertilizer,The Andersons,N/A,N/A,,FB,PROMATE 20-0-10
Protecta EVO Express Bait Station with Weighted Base,Rodent,"Bell Laboratories, Inc.",N/A,N/A,RODENTS,BS,PROTECTA EVO EXPRESS BAIT STAT
PT Alpine Pressurized Insecticide 14 oz.,Insecticide/Pesticide,BASF,499-531,Dinotefuran 0.5%,,AC,PT ALPINE PRESSURIZED INSECTIC
PT Alpine WSG Water Soluble Granule Insecticide 500 g,Insecticide/Pesticide,BASF,499-561,Dinotefuran 40%,,B,PT ALPINE WSG INSECTICIDE 500
PT Microcare CS Pressurized Insecticide 14 oz.,Insecticide/Pesticide,BASF,499-539,Pyrethrins + Piperonyl butoxide (microencapsulated),,AC,PT MICROCARE CS PRESSURIZED IN
PT Phantom II Pressurized Insecticide 14 oz.,Insecticide/Pesticide,BASF,499-548,Chlorfenapyr 0.5%,,AC,PT PHANTOM II PRESSURIZED INSE
PT P.I. Pressurized Contact Insecticide 14 oz.,Insecticide/Pesticide,BASF,499-444,Pyrethrins 0.30% + PBO 2.2% + MGK-264 0.336%,,AC,PT PI PRESSURIZED CONTACT
PT Ultracide Pressurized Flea Insecticide 14 oz.,Insecticide/Pesticide,BASF,499-404,Permethrin 0.4% + MGK-264 0.4% + Pyriproxyfen 0.1% + Pyrethrins 0.05%,,AC,PT ULTRACIDE PRESSURIZED FLEA
PT Wasp-Freeze II Wasp & Hornet Insecticide 14 oz.,Insecticide/Pesticide,BASF,499-550,Prallethrin 0.1%,,AC,PT WASP FREEZE
Roundup QuikPro Non-Selective WDG Herbicide 6.8 lb.,Herbicide,Bayer,524-535,Glyphosate 73.3% + Diquat dibromide 2.9%,,J,ROUNDUP QUIKRO  GRAN HERBICIDE
Safari 20 SG Insecticide 3 lb.,Insecticide/Pesticide,Valent U.S.A.,86203-11-59639,Dinotefuran 20%,,J,SAFARI 20 SG INSECTICIDE 3 LB.
Sector Misting Concentrate 1 gal.,Insecticide/Pesticide,BASF,499-475,Permethrin 10% + PBO 10%,,J,SECTOR MISTING INSECTICIDE 1 G
SedgeHammer Turf Herbicide 1.33 oz. Bottle,Herbicide,Gowan Company,81880-1-10163,Halosulfuron-methyl 75%,NUTSEDGE,B,SEDGEHAMMER SOLUBLE HERBICIDE
Shockwave Fogging Concentrate Insecticide 1 gal.,Insecticide/Pesticide,MGK,1021-1810,Pyrethrins 1% + Esfenvalerate 0.2% + PBO 2% + Pyriproxyfen 0.1%,,J,SHOCKWAVE FOGGING CONCENTRATE
Stop the Bites! Mosquito and Tick Control 2.5 gal.,Insecticide/Pesticide,Arkion Life Sciences,N/A,Citronella/Peppermint/Cinnamon oils (FIFRA 25(b) exempt),,J,STOP THE BITES!
Suspend PolyZone Insecticide 16 oz.,Insecticide/Pesticide,Envu,432-1514,Deltamethrin 4.75%,,B,SUSPEND POLYZONE INSECTICIDE
Suspend SC Insecticide 1 gal. Jug,Insecticide/Pesticide,Envu,432-763,Deltamethrin 4.75%,,J,SUSPEND SC INSECTICIDE 1 GAL.
Headway G Broad-Spectrum Granular Fungicide,Fungicide,Syngenta,100-1378,Azoxystrobin 0.31% + Propiconazole 0.75%,L-LAWN,FB,SYGENTA HEADWAY G BROAD SPECTR
Heritage G Granular Fungicide 30 lb. Bag,Fungicide,Syngenta,100-1323,Azoxystrobin 0.31%,,FB,SYNGENTA HERITAGE GRAN FUNG
Taurus SC Termiticide/Insecticide 78 oz.,Termiticide,"Control Solutions, Inc.",53883-279,Fipronil 9.1%,,B,TAURUS SC INSECTICIDE 78 OZ.
Termidor Foam Termiticide/Insecticide 20 oz.,Termiticide,BASF,499-563,Fipronil 0.005%,,AC,TERMIDOR FOAM INSECTICIDE 20 O
Termidor SC Termiticide/Insecticide,Termiticide,BASF,7969-210,Fipronil 9.1%,TERMITES,J,TERMIDOR SC TERMITICIDE/INSECT
Tiger 90CR Sulphur Granular Soil Amendment 50 lb,Granular Fertilizer,Tiger-Sul Products,N/A,N/A,,FB,TIGER 90 SULFUR GRAN SOIL AMEN
Tim-bor Professional Insecticide and Fungicide,Insecticide/Pesticide,Nisus Corporation,64405-8,Disodium octaborate tetrahydrate 98%,,BU,TIM-BOR INSECTICIDE/FUNGICIDE
TopChoice Insecticide (fipronil granular),Insecticide/Pesticide,Bayer Environmental Science (Envu),432-1217,Fipronil 0.0143%,,FB,TOPCHOICE GRANULAR INSECTICIDE
Transport Mikron Insecticide 1 qt.,Insecticide/Pesticide,FMC Corporation,8033-109,Acetamiprid 5.0% + Bifenthrin 6.0%,ANTS,B,TRANSPORT MIKRON INSECTICIDE 1
Trapper T-Rex Rat Snap Trap (12/case),Rodent,Bell Laboratories,N/A,N/A,,RT,TRAPPER T-REX PLASTIC SNAP TRA
ULD BP-300 Contact Insecticide II 1 gal.,Insecticide/Pesticide,MGK (Whitmire Micro-Gen),1021-2834,Pyrethrins 3.0% + Piperonyl butoxide 6.0% + N-octyl bicycloheptene dicarboximide 10.0%,ROACHES,J,ULD BP-300 FORMULA II INSECTIC
Vendetta Plus Cockroach Gel Bait (30 g x 4),Insecticide/Pesticide,MGK,1021-2593,Abamectin B1 0.05% + Pyriproxyfen 0.50%,ROACHES,T,VENDETTA PLUS ROAACH BAIT 30 G
Victor M9 Professional Rat Trap (12 count/case),Rodent,Woodstream (Victor),N/A,N/A,RODENTS,RT,VICTOR M9 PRO RAT TRAP (12/C)
Extinguish Plus Fire Ant Bait 25 lb.,Insecticide/Pesticide,Wellmark / Central Life Sciences (Zoecon),2724-496,Hydramethylnon 0.365% + (S)-Methoprene 0.250%,ANTS,FB,WELLMARK EXTINGUISH PLUS FIRE
Axillo,Other,Helena,,,,OZ,AXILLO
Chemical X,Other,ABC Chemical Company,N/A,N/A,,OZ,CHEMICAL X
CoRoN 28-0-0 Controlled Release Nitrogen,Liquid Fertilizer,Helena Agri-Enterprises,N/A,N/A,,OZ,CORON
LESCO CrossCheck 0.069% Plus Fertilizer (0-0-7),Insecticide/Pesticide,LESCO (SiteOne),10404-116,Bifenthrin 0.069%,,LB,CROSSCHECK 0.069% PLUS
Ele-Max Turf Nectar AC 15-0-0 with 6% Fe,Liquid Fertilizer,Helena Agri-Enterprises,N/A,N/A,GRAN FERT,FL,ELE-MAX TURF NECTAR
LESCO 22-0-7 Professional Turf Fertilizer,Granular Fertilizer,LESCO (SiteOne),N/A,N/A,GRAN FERT,EA,FERT 22-0-7
Ele-Max K-Leaf Foliar Potassium Fertilizer,Liquid Fertilizer,Helena Agri-Enterprises,N/A,N/A,,J,K-LEAF
Talak 7.9% F Insecticide,Insecticide/Pesticide,Atticus LLC,91234-145,Bifenthrin 7.9%,L-LAWN,OZ,TALAK
